Group,Name,Acronym,SpecificationSourceURL,Category,ParentModel,SimilarModels,Maintainer,Format,Status,NamespaceURI,Year,Notes,CompositionalRole,DefaultLinkType
"Semantic Web & Linked Data","Resource Description Framework","RDF","https://www.w3.org/TR/rdf11-concepts/","Framework","—","RDFS, Turtle, JSON-LD","W3C","Abstract graph data model","W3C Recommendation","http://www.w3.org/1999/02/22-rdf-syntax-ns#","2004 / 2014","Foundational triple model; primary Semantic-Package import candidate","R7","ALIGN"
"Semantic Web & Linked Data","RDF Schema","RDFS","https://www.w3.org/TR/rdf-schema/","Schema Language","RDF","OWL, SKOS","W3C","Lightweight vocabulary","W3C Recommendation","http://www.w3.org/2000/01/rdf-schema#","2004 / 2014","Class/property layer; strong import candidate","R7","ALIGN"
"Semantic Web & Linked Data","Web Ontology Language","OWL","https://www.w3.org/TR/owl-features/","Modeling Language","RDFS","OWL 2, RDFS","W3C","DL-based ontology language","W3C Recommendation","http://www.w3.org/2002/07/owl#","2004 / 2004","Superseded by OWL 2; shares owl: namespace","R7","ALIGN"
"Semantic Web & Linked Data","Web Ontology Language 2","OWL 2","https://www.w3.org/TR/owl2-overview/","Modeling Language","OWL","OWL 1, RDFS, SKOS","W3C","DL-based ontology language","W3C Recommendation","http://www.w3.org/2002/07/owl#","2009 / 2012","Current ontology language; strong import candidate","R7","ALIGN"
"Semantic Web & Linked Data","Simple Knowledge Organization System","SKOS","https://www.w3.org/TR/skos-reference/","Controlled Vocabulary","RDF","RDFS, OWL","W3C","Thesaurus/concept-scheme vocab","W3C Recommendation","http://www.w3.org/2004/02/skos/core#","2009 / 2009","Backbone for taxonomies; strong import candidate","R7","ALIGN"
"Semantic Web & Linked Data","Shapes Constraint Language","SHACL","https://www.w3.org/TR/shacl/","Schema Language","RDF","ShEx, OWL","W3C","RDF validation language","W3C Recommendation","http://www.w3.org/ns/shacl#","2017 / 2017","Graph validation; strong import candidate","R8","EXTEND"
"Semantic Web & Linked Data","Shape Expressions","ShEx","https://shex.io/shex-semantics/","Schema Language","RDF","SHACL","W3C Community Group","RDF validation language","Final CG Report","http://www.w3.org/ns/shex#","2014 / 2019","Not REC-track; sibling to SHACL","R8","EXTEND"
"Semantic Web & Linked Data","RDFa Core","RDFa","https://www.w3.org/TR/rdfa-core/","Exchange Format","RDF","JSON-LD, Microdata","W3C","RDF-in-HTML attribute syntax","W3C Recommendation","—","2008 / 2015","Embeds RDF in markup","R8","N/A"
"Semantic Web & Linked Data","JSON for Linking Data","JSON-LD","https://www.w3.org/TR/json-ld11/","Exchange Format","RDF","Turtle, RDFa","W3C","JSON serialization of RDF","W3C Recommendation","—","2014 / 2020","Dominant LD serialization; strong import candidate","R8","N/A"
"Semantic Web & Linked Data","Terse RDF Triple Language","Turtle","https://www.w3.org/TR/turtle/","Exchange Format","RDF","N-Triples, TriG, JSON-LD","W3C","Text serialization of RDF","W3C Recommendation","—","2014 / 2014","Human-readable RDF syntax","R8","N/A"
"Semantic Web & Linked Data","N-Triples","N-Triples","https://www.w3.org/TR/n-triples/","Exchange Format","RDF","Turtle, N-Quads","W3C","Line-based RDF serialization","W3C Recommendation","—","2014 / 2014","Canonical subset of Turtle","R8","N/A"
"Semantic Web & Linked Data","TriG","TriG","https://www.w3.org/TR/trig/","Exchange Format","Turtle","N-Quads, JSON-LD","W3C","RDF dataset serialization","W3C Recommendation","—","2014 / 2014","Named-graph extension of Turtle","R8","N/A"
"Semantic Web & Linked Data","SPARQL Protocol and RDF Query Language","SPARQL","https://www.w3.org/TR/sparql11-overview/","Framework","RDF","GraphQL, SHACL","W3C","Query/update language + protocol","W3C Recommendation","—","2008 / 2013","Standard RDF query layer; SPARQL 1.2 in progress","R8","N/A"
"Semantic Web & Linked Data","RDF 1.2 / RDF-star","RDF-star","https://www.w3.org/TR/rdf12-concepts/","Framework","RDF","SPARQL 1.2, N3","W3C","RDF abstract-syntax extension","Candidate Recommendation","http://www.w3.org/1999/02/22-rdf-syntax-ns#","2021 / 2026","Provisional (CR/WD); statement-level annotation","R7","ALIGN"
"Semantic Web & Linked Data","DCMI Metadata Terms","DC Terms","https://www.dublincore.org/specifications/dublin-core/dcmi-terms/","Controlled Vocabulary","RDFS","DCES, schema.org, SKOS","DCMI","RDF vocabulary","DCMI Recommendation","http://purl.org/dc/terms/","2001 / 2020","Refines the 15 DCES elements; strong import candidate","R2","REFERENCE"
"Semantic Web & Linked Data","schema.org","schema.org","https://schema.org/","Controlled Vocabulary","RDFS","DC Terms, GoodRelations","Schema.org / W3C CG","RDF vocabulary (JSON-LD/Microdata)","Living standard","https://schema.org/","2011 / 2025","Web-scale markup vocab; strong import candidate","R4","REFERENCE"
"Semantic Web & Linked Data","Friend of a Friend","FOAF","http://xmlns.com/foaf/spec/","Ontology","RDFS","schema.org Person, vCard, SIOC","FOAF Project","RDF/OWL vocabulary","Community spec v0.99","http://xmlns.com/foaf/0.1/","2000 / 2014","Social/person modeling; not a REC","R4","REFERENCE"
"Semantic Web & Linked Data","PROV Ontology","PROV-O","https://www.w3.org/TR/prov-o/","Ontology","OWL 2","PROV-DM, OPM","W3C","OWL2 ontology","W3C Recommendation","http://www.w3.org/ns/prov#","2013 / 2013","Provenance modeling; strong import candidate","R5","MIX-IN"
"Semantic Web & Linked Data","Time Ontology in OWL","OWL-Time","https://www.w3.org/TR/owl-time/","Ontology","OWL 2","PROV-O, iCalendar","W3C/OGC","OWL2-DL ontology","W3C Recommendation","http://www.w3.org/2006/time#","2017 / 2017","Temporal reasoning; 2022 revision draft exists","R5","MIX-IN"
"Semantic Web & Linked Data","Vocabulary of Interlinked Datasets","VoID","https://www.w3.org/TR/void/","Controlled Vocabulary","RDFS","DCAT, HCLS Profile","W3C","RDF vocabulary","W3C Note","http://rdfs.org/ns/void#","2011 / 2011","Dataset description metadata","R2","REFERENCE"
"Semantic Web & Linked Data","Data Catalog Vocabulary","DCAT","https://www.w3.org/TR/vocab-dcat-3/","Controlled Vocabulary","RDF","VoID, schema.org Dataset","W3C","RDF vocabulary","W3C Recommendation","http://www.w3.org/ns/dcat#","2014 / 2024","Dataset/catalog metadata; strong import candidate","R2","REFERENCE"
"Semantic Web & Linked Data","DCAT Application Profile","DCAT-AP","https://semiceu.github.io/DCAT-AP/releases/3.0.1/","Application Profile","DCAT","GeoDCAT-AP, StatDCAT-AP","EU SEMIC","RDF application profile","EU spec v3.0.1","http://data.europa.eu/r5r/","2013 / 2025","EU data-portal profile of DCAT","R2","REFERENCE"
"Semantic Web & Linked Data","Semantic Sensor Network / Sensor Observation","SOSA/SSN","https://www.w3.org/TR/vocab-ssn/","Ontology","OWL","OGC SensorML, SAREF","W3C/OGC","OWL/RDF ontology","W3C Rec + OGC Std","http://www.w3.org/ns/sosa/","2017 / 2017","Dual-published IoT/sensor ontology","R4","REFERENCE"
"Semantic Web & Linked Data","vCard Ontology","vCard","https://www.w3.org/TR/vcard-rdf/","Ontology","RDF","FOAF, schema.org Person, ORG","W3C","RDF/OWL vocabulary","W3C Note","http://www.w3.org/2006/vcard/ns#","2014 / 2014","RDF mapping of RFC 6350 contacts","R1","EMBED"
"Semantic Web & Linked Data","Organization Ontology","ORG","https://www.w3.org/TR/vocab-org/","Ontology","RDFS","FOAF, vCard, RegOrg","W3C","RDF/OWL2 ontology","W3C Recommendation","http://www.w3.org/ns/org#","2014 / 2014","Org structure modeling; strong import candidate","R4","REFERENCE"
"Semantic Web & Linked Data","Quantities, Units, Dimensions, Types","QUDT","https://www.qudt.org/doc/DOC_SCHEMA-QUDT.html","Ontology","OWL","OM, UCUM, SWEET","QUDT.org","OWL/RDFS ontology","Org-maintained v2.1+","http://qudt.org/schema/qudt/","2011 / 2024","Units/measurement modeling","R2","REFERENCE"
"Semantic Web & Linked Data","Description of a Project","DOAP","https://github.com/ewilderj/doap","Controlled Vocabulary","RDFS","FOAF, SPDX, ADMS.SW","E. Wilder-James","RDF vocabulary","Community-maintained","http://usefulinc.com/ns/doap#","2004 / —","Software project metadata","R2","REFERENCE"
